2025-08-17 13:28:38,2025-08-17 13:28:47,One UI Home,PAUSED,9370,camera=true,audio=true
2025-08-17 13:28:47,2025-08-17 13:28:48,whatsapp,PAUSED,694,camera=true,audio=true
2025-08-17 13:28:48,2025-08-17 13:28:53,whatsapp,PAUSED,4779,camera=true,audio=true
2025-08-17 13:28:55,2025-08-17 13:28:57,One UI Home,PAUSED,2182,camera=true,audio=true
2025-08-17 13:28:57,2025-08-17 13:29:01,One UI Home,PAUSED,3740,camera=true,audio=true
2025-08-17 13:30:26,2025-08-17 13:30:28,One UI Home,PAUSED,2526,camera=true,audio=true
2025-08-17 13:30:28,2025-08-17 13:30:32,One UI Home,PAUSED,3660,camera=true,audio=true
2025-08-17 13:31:49,2025-08-17 13:31:51,One UI Home,PAUSED,1375,camera=true,audio=true
2025-08-17 13:31:51,2025-08-17 13:31:53,One UI Home,PAUSED,2664,camera=true,audio=true
2025-08-17 13:31:53,2025-08-17 13:31:56,ixitrain,PAUSED,2243,camera=true,audio=true
2025-08-17 13:31:56,2025-08-17 13:32:07,ixitrain,PAUSED,11209,camera=true,audio=true
2025-08-17 13:32:07,2025-08-17 13:32:11,ixitrain,PAUSED,3693,camera=true,audio=true
2025-08-17 13:32:37,2025-08-17 13:32:38,One UI Home,PAUSED,1540,camera=true,audio=true
2025-08-17 13:32:38,2025-08-17 13:32:43,One UI Home,PAUSED,4435,camera=true,audio=true
2025-08-17 13:34:02,2025-08-17 13:34:02,Call,PAUSED,426,camera=true,audio=true
2025-08-17 13:34:02,2025-08-17 13:35:16,Call,PAUSED,73702,camera=true,audio=true
2025-08-17 13:35:16,2025-08-17 13:35:16,One UI Home,PAUSED,82,camera=true,audio=true
2025-08-17 13:35:20,2025-08-17 13:35:29,One UI Home,PAUSED,9178,camera=true,audio=true
2025-08-17 13:35:29,2025-08-17 13:35:52,paytm,PAUSED,22425,camera=true,audio=true
2025-08-17 13:35:52,2025-08-17 13:36:44,paytm,PAUSED,52043,camera=true,audio=true
2025-08-17 13:36:44,2025-08-17 13:36:49,paytm,PAUSED,5337,camera=true,audio=true
2025-08-17 13:36:49,2025-08-17 13:37:16,paytm,PAUSED,26613,camera=true,audio=true
2025-08-17 13:37:16,2025-08-17 13:37:17,paytm,PAUSED,784,camera=true,audio=true
2025-08-17 13:37:17,2025-08-17 13:37:28,paytm,PAUSED,11611,camera=true,audio=true
2025-08-17 13:37:28,2025-08-17 13:37:34,paytm,PAUSED,5224,camera=true,audio=true
2025-08-17 13:37:34,2025-08-17 13:37:38,paytm,PAUSED,4161,camera=true,audio=true
2025-08-17 13:37:38,2025-08-17 13:37:38,paytm,PAUSED,525,camera=true,audio=true
2025-08-17 13:37:38,2025-08-17 13:38:39,paytm,PAUSED,60774,camera=true,audio=true
2025-08-17 13:38:39,2025-08-17 13:38:41,One UI Home,PAUSED,1588,camera=true,audio=true
2025-08-17 13:42:24,2025-08-17 13:42:33,One UI Home,PAUSED,9113,camera=true,audio=true
2025-08-17 13:43:37,2025-08-17 13:43:42,One UI Home,PAUSED,5065,camera=true,audio=true
2025-08-17 13:43:42,2025-08-17 13:43:45,One UI Home,PAUSED,2432,camera=true,audio=true
2025-08-17 13:43:45,2025-08-17 13:45:36,googlequicksearchbox,PAUSED,111409,camera=true,audio=true
2025-08-17 13:45:38,2025-08-17 13:45:39,One UI Home,PAUSED,922,camera=true,audio=true
2025-08-17 13:45:39,2025-08-17 13:45:59,googlequicksearchbox,PAUSED,20511,camera=true,audio=true
